"Air_Station","Latitude","Longitude"
"USR0000OAGN","42.5522","-124.0578"
"USR0000OALL","43.9247","-119.5944"
"USS0022G06S","42.87","-122.17"
"USR0000OANT","44.0397","-118.4164"
"USS0019D02S","45.19","-119.25"
"USC00350265","45.7212","-120.2064"
"USC00350304","42.21306","-122.71478"
"USW00094224","46.15694","-123.88326"
"USW00094281","45.24656","-122.77095"
"USR0000OBAD","44.03","-120.4"
"USW00024130","44.84301","-117.80987"
"USR0000OBKL","42.7","-124.0333"
"USR0000OBAL","43.5556","-118.4042"
"USR0000OBAS","42.2547","-118.9792"
"USS0022G21S","42.05","-122.85"
"USS0023G15S","42.08","-123.34"
"USS0022G13S","42.41","-122.27"
"USR0000OBLA","43.5233","-121.8133"
"USR0000OBLU","44.67","-117.9336"
"USS0018E16S","44.25","-118.52"
"USR0000OBOC","44.5933","-119.2778"
"USC00350897","45.6354","-121.9523"
"USR0000OBOU","44.7219","-122.0031"
"USS0018E05S","44.83","-118.19"
"USS0018D20S","45.36","-118.47"
"USR0000OBRI","44.3231","-119.7669"
"USR0000OBRO","43.5611","-120.2486"
"USR0000OBRU","44.2844","-122.8494"
"USR0000OBUE","43.0361","-122.6553"
"USR0000OBUS","42.1197","-122.5633"
"USW00094185","43.59486","-118.95788"
"USR0000OCAI","42.6314","-121.5597"
"USR0000OCAL","42.7778","-123.7294"
"USR0000OCAN","44.3489","-123.8853"
"USR0000OCAS","44.9711","-118.9297"
"USS0021F22S","43.23","-121.81"
"USR0000OCHI","42.5769","-121.8936"
"USR0000OCIN","43.3208","-122.1067"
"USS0021D13S","45.1","-121.75"
"USC00351643","46.1081","-123.2058"
"USC00351682","45.205","-123.8925"
"USS0018D08S","45.19","-118.55"
"USR0000OCOD","44.35","-120.13"
"USR0000OCOL","44.3158","-121.6056"
"USC00351836","43.17513","-124.19387"
"USC00351862","44.6341","-123.19"
"USC00351877","44.5077","-123.4575"
"USC00351897","43.7916","-123.0275"
"USR0000OCRA","44.1667","-118.4667"
"USC00351946","42.89765","-122.13387"
"USR0000OCRO","43.8333","-118.95"
"USC00352112","44.9464","-123.2911"
"USS0019E03S","44.45","-119.93"
"USC00352374","43.7822","-122.963"
"USR0000OEAG","45.3686","-122.3311"
"USR0000OEDE","45.9267","-117.5883"
"USS0018E03S","44.87","-118.11"
"USR0000OECK","44.7578","-117.9711"
"USC00352632","43.64258","-123.58328"
"USR0000OEMI","43.4675","-122.2175"
"USS0018D04S","45.56","-118.45"
"USC00352693","45.2695","-122.3168"
"USW00024221","44.13311","-123.21563"
"USR0000OEVA","42.5978","-123.1033"
"USR0000OFAL","44.2939","-119.0333"
"USR0000OFIE","43.6806","-122.3019"
"USR0000OFIN","44.4183","-123.3253"
"USS0018G02S","42.71","-118.63"
"USR0000OFIS","42.4722","-119.1783"
"USS0022G14S","42.38","-122.35"
"USR0000OFLA","44.8142","-117.7289"
"USC00352973","44.0039","-124.0948"
"USC00352997","45.5247","-123.1025"
"USR0000OFOR","43.425","-120.8417"
"USC00353047","44.4139","-122.6728"
"USR0000OFOS","42.9736","-119.2461"
"USS0022G12S","42.44","-122.23"
"USR0000OGER","42.2056","-121.1389"
"USS0021G04S","42.21","-121.13"
"USS0018E08S","44.76","-118.31"
"USC00353402","45.3008","-121.7425"
"USR0000OGAD","43.4158","-122.5772"
"USC00353445","42.42382","-123.32193"
"USR0000OGRM","42.6261","-117.395"
"USS0021D01S","45.62","-121.7"
"USC00353604","44.8773","-117.1095"
"USR0000OHAR","45.3192","-116.8675"
"USR0000OHAY","44.4503","-121.13"
"USC00353770","45.4486","-122.1547"
"USR0000OHEH","44.9661","-121.4908"
"USC00353827","45.3653","-119.5639"
"USC00353818","45.8619","-119.3119"
"USW00004113","45.8259","-119.26121"
"USR0000OHIG","43.9064","-123.3794"
"USS0018D19S","45.7","-118.11"
"USS0021E06S","44.42","-121.86"
"USC00353995","43.928","-124.1069"
"USR0000OHOR","44.9406","-122.4003"
"USC00354060","42.21525","-122.37193"
"USR0000OHOY","42.9764","-121.4219"
"USR0000OILL","42.1039","-123.6853"
"USR0000OJRI","45.1139","-118.4039"
"USW00004125","44.556","-119.6459"
"USS0022E07S","44.39","-122.17"
"USR0000OKE2","44.6661","-118.9208"
"USR0000OKEL","43.9014","-117.9858"
"USS0023G09S","42.72","-123.2"
"USC00354835","43.35947","-122.22033"
